lambda (nm);emission (cps)
300;3172.5
301;3172.5
302;3265
303;3495
304;3362.5
305;3692.5
306;4010
307;4537.5
308;4912.5
309;5655
310;6855
311;7502.5
312;8582.5
313;9995
314;11527.5
315;13222.5
316;15580
317;17902.5
318;20392.5
319;22740
320;26155
321;29197.5
322;31830
323;34967.5
324;37110
325;40195
326;41902.5
327;44617.5
328;48355
329;52345
330;56195
331;60725
332;65840
333;70720
334;76755
335;83445
336;90137.5
337;98772.5
338;106810
339;118015
340;128950
341;141260
342;155715
343;171550
344;189170
345;207360
346;230002.5
347;253232.5
348;278427.5
349;309942.5
350;342317.5
351;375567.5
352;416612.5
353;459422.5
354;504295
355;556330
356;611000
357;672547.5
358;738670
359;801740
360;868467.5
361;949927.5
362;1.03E+06
363;1.11E+06
364;1.21E+06
365;1.30E+06
366;1.40E+06
367;1.51E+06
368;1.61E+06
369;1.72E+06
370;1.85E+06
371;1.97E+06
372;2.09E+06
373;2.21E+06
374;2.35E+06
375;2.48E+06
376;2.64E+06
377;2.77E+06
378;2.93E+06
379;3.07E+06
380;3.23E+06
381;3.39E+06
382;3.54E+06
383;3.71E+06
384;3.89E+06
385;4.05E+06
386;4.23E+06
387;4.41E+06
388;4.59E+06
389;4.79E+06
390;4.96E+06
391;5.16E+06
392;5.33E+06
393;5.52E+06
394;5.71E+06
395;5.87E+06
396;6.05E+06
397;6.21E+06
398;6.36E+06
399;6.51E+06
400;6.68E+06
401;6.82E+06
402;6.97E+06
403;7.12E+06
404;7.27E+06
405;7.42E+06
406;7.57E+06
407;7.73E+06
408;7.87E+06
409;8.01E+06
410;8.16E+06
411;8.30E+06
412;8.43E+06
413;8.58E+06
414;8.71E+06
415;8.85E+06
416;8.98E+06
417;9.09E+06
418;9.21E+06
419;9.34E+06
420;9.46E+06
421;9.57E+06
422;9.70E+06
423;9.79E+06
424;9.89E+06
425;1.00E+07
426;1.01E+07
427;1.02E+07
428;1.03E+07
429;1.04E+07
430;1.05E+07
431;1.06E+07
432;1.06E+07
433;1.07E+07
434;1.08E+07
435;1.09E+07
436;1.09E+07
437;1.10E+07
438;1.11E+07
439;1.11E+07
440;1.12E+07
441;1.12E+07
442;1.13E+07
443;1.13E+07
444;1.13E+07
445;1.14E+07
446;1.14E+07
447;1.14E+07
448;1.15E+07
449;1.15E+07
450;1.15E+07
451;1.16E+07
452;1.16E+07
453;1.16E+07
454;1.16E+07
455;1.16E+07
456;1.17E+07
457;1.17E+07
458;1.17E+07
459;1.17E+07
460;1.16E+07
461;1.16E+07
462;1.15E+07
463;1.15E+07
464;1.14E+07
465;1.14E+07
466;1.13E+07
467;1.13E+07
468;1.12E+07
469;1.12E+07
470;1.11E+07
471;1.11E+07
472;1.10E+07
473;1.10E+07
474;1.09E+07
475;1.09E+07
476;1.08E+07
477;1.07E+07
478;1.07E+07
479;1.06E+07
480;1.06E+07
481;1.05E+07
482;1.05E+07
483;1.04E+07
484;1.04E+07
485;1.03E+07
486;1.03E+07
487;1.02E+07
488;1.01E+07
489;1.01E+07
490;1.00E+07
491;9.95E+06
492;9.88E+06
493;9.81E+06
494;9.75E+06
495;9.69E+06
496;9.62E+06
497;9.54E+06
498;9.47E+06
499;9.41E+06
500;9.32E+06
501;9.25E+06
502;9.17E+06
503;9.09E+06
504;9.01E+06
505;8.91E+06
506;8.84E+06
507;8.75E+06
508;8.66E+06
509;8.58E+06
510;8.47E+06
511;8.39E+06
512;8.29E+06
513;8.18E+06
514;8.10E+06
515;7.99E+06
516;7.90E+06
517;7.79E+06
518;7.70E+06
519;7.58E+06
520;7.49E+06
521;7.39E+06
522;7.28E+06
523;7.17E+06
524;7.08E+06
525;6.97E+06
526;6.86E+06
527;6.75E+06
528;6.65E+06
529;6.54E+06
530;6.43E+06
531;6.34E+06
532;6.23E+06
533;6.12E+06
534;6.01E+06
535;5.92E+06
536;5.83E+06
537;5.73E+06
538;5.63E+06
539;5.54E+06
540;5.44E+06
541;5.34E+06
542;5.24E+06
543;5.16E+06
544;5.06E+06
545;4.96E+06
546;4.88E+06
547;4.78E+06
548;4.68E+06
549;4.60E+06
550;4.51E+06
551;4.43E+06
552;4.36E+06
553;4.26E+06
554;4.18E+06
555;4.09E+06
556;4.00E+06
557;3.92E+06
558;3.83E+06
559;3.75E+06
560;3.68E+06
561;3.60E+06
562;3.52E+06
563;3.45E+06
564;3.38E+06
565;3.30E+06
566;3.22E+06
567;3.15E+06
568;3.08E+06
569;3.01E+06
570;2.93E+06
571;2.88E+06
572;2.80E+06
573;2.74E+06
574;2.67E+06
575;2.61E+06
576;2.55E+06
577;2.48E+06
578;2.42E+06
579;2.36E+06
580;2.30E+06
581;2.25E+06
582;2.19E+06
583;2.14E+06
584;2.09E+06
585;2.04E+06
586;1.99E+06
587;1.95E+06
588;1.90E+06
589;1.85E+06
590;1.81E+06
591;1.78E+06
592;1.75E+06
593;1.72E+06
594;1.70E+06
595;1.66E+06
596;1.63E+06
597;1.59E+06
598;1.54E+06
599;1.49E+06
600;1.44E+06
601;1.39E+06
602;1.35E+06
603;1.32E+06
604;1.29E+06
605;1.25E+06
606;1.22E+06
607;1.19E+06
608;1.16E+06
609;1.13E+06
610;1.11E+06
611;1.08E+06
612;1.05E+06
613;1.03E+06
614;999852.5
615;976442.5
616;955350
617;931767.5
618;905540
619;880272.5
620;858672.5
621;829522.5
622;810715
623;784755
624;761992.5
625;741190
626;722915
627;698835
628;680667.5
629;662155
630;642250
631;625635
632;608790
633;588135
634;571615
635;556387.5
636;540005
637;524985
638;510077.5
639;495815
640;482122.5
641;467812.5
642;456065
643;443417.5
644;429350
645;417565
646;408047.5
647;395530
648;385550
649;374410
650;363742.5
651;357652.5
652;347252.5
653;344062.5
654;334675
655;331492.5
